date_key,full_date,day_of_week,day_of_month,month,month_name,quarter,year,is_weekend
20250101,2025-01-01,3,1,1,January,1,2025,false
20250102,2025-01-02,4,2,1,January,1,2025,false
20250103,2025-01-03,5,3,1,January,1,2025,false
20250104,2025-01-04,6,4,1,January,1,2025,true
20250105,2025-01-05,7,5,1,January,1,2025,true
20250106,2025-01-06,1,6,1,January,1,2025,false
20250107,2025-01-07,2,7,1,January,1,2025,false
20250108,2025-01-08,3,8,1,January,1,2025,false
20250109,2025-01-09,4,9,1,January,1,2025,false
20250110,2025-01-10,5,10,1,January,1,2025,false
20250111,2025-01-11,6,11,1,January,1,2025,true
20250112,2025-01-12,7,12,1,January,1,2025,true
20250113,2025-01-13,1,13,1,January,1,2025,false
20250114,2025-01-14,2,14,1,January,1,2025,false
20250115,2025-01-15,3,15,1,January,1,2025,false
20250116,2025-01-16,4,16,1,January,1,2025,false
20250117,2025-01-17,5,17,1,January,1,2025,false
20250118,2025-01-18,6,18,1,January,1,2025,true
20250119,2025-01-19,7,19,1,January,1,2025,true
20250120,2025-01-20,1,20,1,January,1,2025,false
20250121,2025-01-21,2,21,1,January,1,2025,false
20250122,2025-01-22,3,22,1,January,1,2025,false
20250123,2025-01-23,4,23,1,January,1,2025,false
20250124,2025-01-24,5,24,1,January,1,2025,false
20250125,2025-01-25,6,25,1,January,1,2025,true
20250126,2025-01-26,7,26,1,January,1,2025,true
20250127,2025-01-27,1,27,1,January,1,2025,false
20250128,2025-01-28,2,28,1,January,1,2025,false
20250129,2025-01-29,3,29,1,January,1,2025,false
20250130,2025-01-30,4,30,1,January,1,2025,false
20250131,2025-01-31,5,31,1,January,1,2025,false
20250201,2025-02-01,6,1,2,February,1,2025,true
20250202,2025-02-02,7,2,2,February,1,2025,true
20250203,2025-02-03,1,3,2,February,1,2025,false
20250204,2025-02-04,2,4,2,February,1,2025,false
20250205,2025-02-05,3,5,2,February,1,2025,false
20250206,2025-02-06,4,6,2,February,1,2025,false
20250207,2025-02-07,5,7,2,February,1,2025,false
